Timestamp_UTC,Stream_ID,Frame_Number,FPS,Latency_ms,Packet_Drop_Rate,CPU_Core_0_pct,CPU_Core_1_pct,CPU_Core_2_pct,CPU_Core_3_pct,CPU_Total_pct,Memory_MB,Thread_Count,GC_Gen0_Collections,GC_Gen1_Collections,GC_Gen2_Collections,Detection_Count,Image_Bytes,Packet_ID
2026-09-02T09:19:58.0472361Z,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,81.191,25,0,0,0,0,0,1
2026-09-02T09:19:58.5651346Z,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,81.836,25,0,0,0,0,0,2
2026-09-02T09:19:59.0676010Z,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,82.078,25,0,0,0,0,0,3
2026-09-02T09:19:59.5829189Z,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,82.648,25,0,0,0,0,0,4
2026-09-02T09:20:00.0874152Z,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,83.156,25,0,0,0,0,0,5
2026-09-02T09:20:00.6042809Z,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.840,83.812,25,0,0,0,0,0,6
2026-09-02T09:20:01.1058949Z,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,84.613,25,0,0,0,0,0,7
2026-09-02T09:20:01.6089067Z,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.823,84.832,25,0,0,0,0,0,8
2026-09-02T09:20:02.1260527Z,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.451,85.051,25,0,0,0,0,0,9
2026-09-02T09:20:02.6429051Z,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.281,25,0,0,0,0,0,10
2026-09-02T09:20:03.1480210Z,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.645,25,0,0,0,0,0,11
2026-09-02T09:20:03.6519034Z,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.844,25,0,0,0,0,0,12
2026-09-02T09:20:04.1678645Z,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.948,85.352,25,0,0,0,0,0,13
2026-09-02T09:20:04.6767105Z,0,0,10.000,60.000,0.000,0.000,0.000,0.000,0.000,18.335,128.457,30,0,0,0,0,0,15
2026-09-02T09:20:05.1831176Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,4.550,146.398,34,0,0,0,0,0,20
2026-09-02T09:20:05.6895035Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,0.000,145.164,34,0,0,0,0,0,24
2026-09-02T09:20:06.1918460Z,0,0,10.000,31.000,0.000,0.000,0.000,0.000,0.000,4.253,145.480,34,0,0,0,0,0,28
2026-09-02T09:20:06.7043235Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,0.000,145.848,34,0,0,0,0,0,34
2026-09-02T09:20:07.2203889Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,12.524,146.082,34,0,0,0,0,0,37
2026-09-02T09:20:07.7326740Z,0,0,10.000,35.000,0.000,0.000,0.000,0.000,0.000,30.822,146.184,34,0,0,0,0,0,42
2026-09-02T09:20:08.2379740Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,18.146,146.867,34,0,0,0,0,0,46
2026-09-02T09:20:08.7430362Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,0.000,147.109,34,0,0,0,0,0,50
2026-09-02T09:20:09.2487944Z,0,0,10.000,33.000,0.000,0.000,0.000,0.000,0.000,52.727,147.691,34,0,0,0,0,0,54
2026-09-02T09:20:09.7530548Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,11.757,147.977,34,0,0,0,0,0,59
2026-09-02T09:20:10.2552280Z,0,0,10.000,42.000,0.000,0.000,0.000,0.000,0.000,0.000,148.238,34,0,0,0,0,0,64
2026-09-02T09:20:10.7728148Z,0,0,10.000,31.000,0.000,0.000,0.000,0.000,0.000,0.000,148.500,34,0,0,0,0,0,68
2026-09-02T09:20:11.2900331Z,0,0,10.000,31.000,0.000,0.000,0.000,0.000,0.000,0.000,148.699,34,0,0,0,0,0,72
2026-09-02T09:20:11.8032479Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,27.032,148.895,34,0,0,0,0,0,78
2026-09-02T09:20:12.3198125Z,0,0,10.000,38.000,0.000,0.000,0.000,0.000,0.000,7.009,149.156,34,0,0,0,0,0,83
2026-09-02T09:20:12.8274697Z,0,0,10.000,31.000,0.000,0.000,0.000,0.000,0.000,14.648,149.371,34,0,0,0,0,0,87
2026-09-02T09:20:13.3345454Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,13.766,149.660,34,0,0,0,0,0,92
2026-09-02T09:20:13.8359026Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,0.000,150.406,34,0,0,0,0,0,98
2026-09-02T09:20:14.3534896Z,0,0,10.000,33.000,0.000,0.000,0.000,0.000,0.000,22.228,150.324,34,0,0,0,0,0,102
2026-09-02T09:20:14.8675046Z,0,0,10.000,31.000,0.000,0.000,0.000,0.000,0.000,0.000,150.289,34,0,0,0,0,0,108
2026-09-02T09:20:15.3824769Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,2.522,150.645,34,0,0,0,0,0,111
2026-09-02T09:20:15.8928512Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,9.388,150.883,34,0,0,0,0,0,116
2026-09-02T09:20:16.3959194Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,0.000,151.105,34,0,0,0,0,0,121
2026-09-02T09:20:16.8992439Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,11.410,151.348,35,0,0,0,0,0,125
2026-09-02T09:20:17.4043017Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,8.191,151.500,35,0,0,0,0,0,129
2026-09-02T09:20:17.9091075Z,0,0,10.000,31.000,0.000,0.000,0.000,0.000,0.000,14.063,150.363,35,0,0,0,0,0,134
2026-09-02T09:20:18.4233218Z,0,0,10.000,35.000,0.000,0.000,0.000,0.000,0.000,17.361,150.820,35,0,0,0,0,0,139
2026-09-02T09:20:18.9377682Z,0,0,10.000,42.000,0.000,0.000,0.000,0.000,0.000,4.488,151.105,35,0,0,0,0,0,144
2026-09-02T09:20:19.4483586Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,10.742,150.891,35,0,0,0,0,0,149
2026-09-02T09:20:19.9627784Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,12.862,151.312,35,0,0,0,0,0,154
2026-09-02T09:20:20.4664603Z,0,0,10.000,31.000,0.000,0.000,0.000,0.000,0.000,2.448,151.305,35,0,0,0,0,0,158
2026-09-02T09:20:20.9706300Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,18.130,151.898,35,0,0,0,0,0,163
2026-09-02T09:20:21.4766325Z,0,0,10.000,31.000,0.000,0.000,0.000,0.000,0.000,0.000,152.062,35,0,0,0,0,0,167
2026-09-02T09:20:21.9821418Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,23.474,152.438,35,0,0,0,0,0,172
2026-09-02T09:20:22.4980563Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,12.366,152.723,35,0,0,0,0,0,177
2026-09-02T09:20:23.0105278Z,0,0,10.000,31.000,0.000,0.000,0.000,0.000,0.000,3.530,152.965,35,0,0,0,0,0,181
2026-09-02T09:20:23.5249655Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,6.719,153.258,35,0,0,0,0,0,186
2026-09-02T09:20:24.0355609Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,0.486,153.027,35,0,0,0,0,0,190
2026-09-02T09:20:24.5378964Z,0,0,10.000,32.000,0.000,0.000,0.000,0.000,0.000,10.698,153.465,35,0,0,0,0,0,195
2026-09-02T09:20:25.0437194Z,0,0,10.000,31.000,0.000,0.000,0.000,0.000,0.000,8.953,153.633,35,0,0,0,0,0,200
2026-09-02T09:20:25.5506585Z,0,0,10.000,31.000,0.000,0.000,0.000,0.000,0.000,11.500,153.844,35,0,0,0,0,0,204
